case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou
lung_001,0.8047868362004488,0.7836070338613573,0.6733416770963705,0.644205495818399,-0.021179802339091447,-0.029136181277971462
lung_003,0.7770925110132159,0.6150987224157956,0.6354466858789626,0.4441462596444146,-0.1619937885974203,-0.19130042623454796
lung_004,0.0,0.0,0.0,0.0,0.0,0.0
lung_005,0.7751948840031742,0.76188947489108,0.6329128396661459,0.615364670148535,-0.013305409112094102,-0.017548169517610845
lung_006,0.8888254194930382,0.8857241142070863,0.7998971854517414,0.7948876265744629,-0.003101305285951872,-0.005009558877278497
lung_009,0.7392536910462819,0.7312012617190923,0.5863619713150554,0.5762941273962765,-0.008052429327189636,-0.010067843918778907
lung_010,0.8861961967167646,0.88212548763512,0.795648384486086,0.7891095806173902,-0.004070709081644641,-0.006538803868695764
lung_014,0.9092184692414851,0.9024442764070489,0.8335477303225209,0.822230941908638,-0.0067741928344361435,-0.01131678841388295
lung_015,0.8853700516351118,0.8592200925313945,0.7943174799258802,0.7531865585168018,-0.026149959103717313,-0.04113092140907837
lung_016,0.7677471202785963,0.7839327907587293,0.6230434782608696,0.6446459412780656,0.016185670480133085,0.02160246301719604
lung_018,0.8541921932434798,0.8574545037028533,0.7454934311029636,0.7504773389609084,0.0032623104593734187,0.00498390785794478
lung_020,0.755349017329848,0.7982488143013499,0.6068761667703796,0.6642380085003036,0.042899796971501813,0.05736184172992398
lung_022,0.5452566232403603,0.5501118288652064,0.37481292711219566,0.3794167300741868,0.004855205624846093,0.004603802961991144
lung_023,0.5272215786860831,0.5383581527874846,0.35797752808988764,0.3683242607032514,0.011136574101401453,0.010346732613363774
lung_025,0.8854150382992028,0.8806901332511746,0.794389901823282,0.7868153041563446,-0.0047249050480281385,-0.007574597666937355
lung_026,0.8278554017238358,0.8216066309360588,0.7062741260262057,0.6972261152391781,-0.006248770787776969,-0.00904801078702755
lung_027,0.8362934260814368,0.8303000879138183,0.7186463021046411,0.7098402584582248,-0.005993338167618489,-0.00880604364641624
lung_028,0.7819891878102126,0.787118948437523,0.6420215485643531,0.6489663165431829,0.005129760627310298,0.006944767978829813
lung_029,0.8350652811084466,0.8360103626943005,0.7168344007319305,0.7182283552192299,0.0009450815858539352,0.001393954487299398
lung_031,0.5769546157972292,0.5898609088749033,0.40543655332570794,0.4182998064426932,0.012906293077674102,0.012863253116985274
lung_033,0.716508410409517,0.7388749195953453,0.5582494004796164,0.5858855168896204,0.022366509185828387,0.027636116410004075
lung_034,0.8900616962759236,0.8905411903969223,0.8019019555317439,0.8026807148572953,0.0004794941209986803,0.0007787593255513814
lung_036,0.0,0.0,0.0,0.0,0.0,0.0
lung_037,0.6909090909090909,0.8350983358547656,0.5277777777777778,0.7168831168831169,0.14418924494567464,0.1891053391053391
lung_038,0.7766428328226082,0.7824183226675648,0.634845532980796,0.6426002766251729,0.005775489844956683,0.0077547436443768936
lung_041,0.8752658407318638,0.8756435113993448,0.7781979710666906,0.7787952666944163,0.00037767066748106703,0.0005972956277257024
lung_042,0.16286897980321077,0.19471698113207547,0.0886539816772375,0.10785953177257525,0.0318480013288647,0.019205550095337753
lung_043,0.6694129763130793,0.7019294743845642,0.5030959752321982,0.5407483341875962,0.032516498071484934,0.03765235895539798
lung_044,0.6720768620866564,0.6881690787962325,0.5061112672098904,0.5245867189688989,0.016092216709576057,0.018475451759008443
lung_045,0.8832074375363161,0.8825940038823783,0.7908428720083247,0.7898597349118518,-0.0006134336539378449,-0.000983137096472908
lung_046,0.8913906774106489,0.8916982722292457,0.8040620435417681,0.8045627376425856,0.00030759481859676807,0.0005006941008174337
lung_047,0.8999079310798369,0.9172231321658058,0.8180296508847441,0.8471026297416803,0.017315201085968845,0.02907297885693616
lung_048,0.8579865771812081,0.8650491803278688,0.7512929007992478,0.7621908943840998,0.00706260314666074,0.010897993584851995
lung_049,0.7815640262729467,0.7700837047505164,0.6414485809067453,0.6261269223970303,-0.011480321522430392,-0.015321658509715008
lung_051,0.8831459104561011,0.8866309416104113,0.790744215134459,0.7963495436929616,0.003485031154310203,0.005605328558502598
lung_053,0.5720746990681497,0.6669074481522624,0.400633491608293,0.5002709280971475,0.09483274908411277,0.09963743648885448
lung_054,0.7986727075489758,0.8093712706488286,0.6648252416870286,0.679784764718295,0.010698563099852842,0.014959523031266353
lung_055,0.7440700414538074,0.7485342241614399,0.5924454913991454,0.5981260044126059,0.004464182707632491,0.005680513013460509
lung_057,0.8762243989314337,0.8876817942877169,0.7797147385103012,0.7980466288594833,0.011457395356283206,0.018331890349182145
lung_058,0.8525811601915912,0.8408501814411612,0.7430426716141002,0.725402504472272,-0.011730978750430054,-0.017640167141828256
lung_059,0.807565011820331,0.6466417910447761,0.6772402854877082,0.4778053487730907,-0.16092322077555488,-0.19943493671461748
lung_061,0.6950193313622924,0.6672354948805461,0.5325897525270129,0.5006402048655569,-0.027783836481746316,-0.03194954766145597
lung_062,0.9099363680861479,0.9089584850691915,0.834755276156264,0.8331108144192256,-0.000977883016956338,-0.0016444617370383607
lung_064,0.9047767340764938,0.895329197743429,0.8261116817250724,0.8104941272227811,-0.009447536333064832,-0.015617554502291298
lung_065,0.8077869423252503,0.8089653375032577,0.6775525038290803,0.6792122538293217,0.0011783951780074409,0.0016597500002414334
lung_066,0.7947603675192451,0.7938615187869192,0.6594210363655094,0.6581843885691204,-0.0008988487323258187,-0.00123664779638899
lung_069,0.7334484743811168,0.7987679671457906,0.5790909090909091,0.6649572649572649,0.06531949276467375,0.08586635586635583
lung_070,0.5915010281014393,0.5440550941867531,0.41995133819951336,0.3736783528102393,-0.04744593391468621,-0.046272985389274046
lung_071,0.7592116538131962,0.7550174158235197,0.611878453038674,0.6064481747934986,-0.0041942379896765525,-0.005430278245175502
lung_073,0.644676568573015,0.6452760507547138,0.4756625272052234,0.4763155262104842,0.0005994821816988072,0.0006529990052607793
lung_074,0.7843268983777589,0.7660014594371649,0.6451791170925167,0.6207474597885557,-0.01832543894059402,-0.02443165730396102
lung_075,0.8705276389612778,0.8789278275830843,0.7707383279044517,0.7840064620355411,0.00840018862180647,0.013268134131089404
lung_078,0.8889061408275755,0.8869645183538969,0.8000279485746227,0.7968879096667585,-0.0019416224736785725,-0.0031400389078641844
lung_079,0.6471115091804747,0.8138736263736264,0.47831843760344256,0.6861609727851766,0.1667621171931517,0.20784253518173407
lung_080,0.0,0.0,0.0,0.0,0.0,0.0
lung_081,0.7241449099372597,0.73949246629659,0.5675761421319797,0.5866624724756213,0.015347556359330383,0.0190863303436416
lung_083,0.7874794069192751,0.8171629843099584,0.6494565217391305,0.6908500270709258,0.02968357739068328,0.04139350533179531
lung_084,0.8089085092135612,0.8405403507128977,0.6791321367592554,0.7249414425329134,0.03163184149933651,0.04580930577365794
lung_086,0.6782715772976604,0.6799773968732341,0.5131701532988905,0.5151255707762558,0.0017058195755736971,0.0019554174773652733
lung_092,0.783678974877761,0.7821975872187805,0.644302744663155,0.6423025435073628,-0.0014813876589804265,-0.002000201155792136
lung_093,0.8213333333333334,0.833426808749299,0.6968325791855203,0.7144230769230769,0.012093475415965615,0.01759049773755661
lung_095,0.7443560524618361,0.7601685985247629,0.5928082191780822,0.6131225565187829,0.015812546062926813,0.02031433734070065
lung_096,0.0,0.0,0.0,0.0,0.0,0.0
