case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
Fluo-C3DH-A549-SIM__01__t000,0.9717925028993769,0.9718233727432655,0.945132675690143,0.9451910761054503,3.086984388855907e-05,5.8400415307247044e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t001,0.9694274816703227,0.9694388728052408,0.9406688655365498,0.9406903163950144,1.1391134918103951e-05,2.1450858464611144e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t002,0.9711203862512021,0.9711311589174184,0.9438620158026595,0.9438823688115473,1.0772666216296578e-05,2.035300888780789e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t003,0.9684876044596024,0.9684592602933698,0.9389005974593476,0.9388473213077354,-2.8344166232541212e-05,-5.3276151612213773e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t004,0.9706439488849913,0.9706451257278585,0.9429622994235862,0.9429645207773494,1.1768428672676023e-06,2.2213537631543545e-06,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t005,0.9687052896725441,0.968726701190884,0.9393098597053421,0.9393501240743274,2.141151833989774e-05,4.026436898529884e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t006,0.9675078544643761,0.9675000253351845,0.9370607405080686,0.9370460523732873,-7.829129191616602e-06,-1.468813478133768e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t007,0.9686150360578138,0.9686194795869867,0.9391401561212882,0.9391485105798835,4.443529172837302e-06,8.354458595261072e-06,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t008,0.9678704249395411,0.9678822178644367,0.9377411987083563,0.9377633392400079,1.1792924895615009e-05,2.2140531651615447e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t009,0.9654791719907999,0.9654601396313977,0.9332621884942985,0.9332266224013912,-1.9032359402260113e-05,-3.556609290733537e-05,Fluo-C3DH-A549-SIM__01
Fluo-C3DH-A549-SIM__01__t010,0.9667872544811659,0.9667800905347271,0.9357097642031967,0.9356963427418558,-7.163946438737412e-06,-1.342146134097888e-05,Fluo-C3DH-A549-SIM__01
