dataset_id,display_name,model,cases,argmax_dice,rankseg_dice,delta_dice,case_dice_improved_over_1pp,case_dice_stable_within_1pp,case_dice_worsened_over_1pp,case_dice_worsened_over_5pp,case_dice_improved_over_5pp,case_dice_worsened_over_10pp,case_dice_improved_over_10pp,paired_delta_dice_q05,argmax_dice_q05,rankseg_dice_q05,bottom_quantile_uplift_dice_q05,paired_delta_dice_q10,argmax_dice_q10,rankseg_dice_q10,bottom_quantile_uplift_dice_q10
CHAOS_CT_TotalSegmentator_v2,CHAOS CT,nnU-Net v2 · TotalSegmentator Dataset291 · 3d_fullres (fold 0),20,0.9708608168708166,0.9709149824956324,5.41656248157496e-05,0,20,0,0,0,0,0,-9.18297401009127e-05,0.9601373636824884,0.9604955305145393,0.00035816683205092126,-5.3497818859371545e-05,0.9618251640894402,0.9619154376557785,9.027356633828365e-05
Task001_BrainTumour,MSD BrainTumour,nnU-Net v1 · 3d_fullres,484,0.8457216647029586,0.8457988112956872,7.714659272861635e-05,7,476,1,0,0,0,0,-0.002421609424398352,0.5660916411622758,0.5673263645440128,0.001234723381736913,-0.0017072887461744067,0.6828591607541286,0.6814152419049821,-0.0014439188491464083
Task002_Heart,MSD Heart,nnU-Net v1 · 3d_fullres,20,0.9329432557817139,0.93296233058844,1.907480672613815e-05,0,20,0,0,0,0,0,-0.0001513292817404921,0.8949783685003185,0.8950674001137652,8.903161344664401e-05,-9.327098822571322e-05,0.903425168365008,0.9036230606745801,0.000197892309572123
Task003_Liver,MSD Liver,nnU-Net v1 · 3d_lowres + 3d_fullres ensemble,131,0.8099902685454511,0.8182314195561273,0.00824115101067624,32,90,9,6,9,1,6,-0.0435370250095895,0.4895290768429241,0.48809261897846146,-0.0014364578644626702,-0.0058417411206515,0.6070010644140525,0.6006607095710921,-0.006340354842960472
Task004_Hippocampus,MSD Hippocampus,nnU-Net v1 · 3d_fullres,260,0.8890847218712203,0.8891252474509135,4.05255796931403e-05,0,260,0,0,0,0,0,-0.0007522361650990794,0.826886131659529,0.8265164802466356,-0.000369651412893357,-0.0006206498495812007,0.8407724728548844,0.8408107667131363,3.829385825182552e-05
Task005_Prostate,MSD Prostate,nnU-Net v1 · 2d + 3d_fullres ensemble,32,0.7595709141302581,0.7598003941540099,0.00022948002375178245,8,20,4,1,2,1,1,-0.012524843233829946,0.5662502796898594,0.3993875648406429,-0.1668627148492165,-0.009956868725795886,0.6737384565956893,0.6786707556274584,0.004932299031769061
Task006_Lung,MSD Lung,nnU-Net v1 · 3d_lowres + 3d_fullres ensemble,63,0.7228821782678972,0.7274898662134607,0.004607687945563432,20,33,10,2,4,2,2,-0.027620448743943416,0.016286897980321093,0.019471698113207564,0.0031848001328864707,-0.017321432974894035,0.5506202384059181,0.5452664411224438,-0.005353797283474293
Task007_Pancreas,MSD Pancreas,nnU-Net v1 · 3d_fullres + 3d_cascade_fullres ensemble,281,0.6839597098671824,0.6956286671441376,0.011668957276955272,66,191,24,6,29,2,13,-0.019275754662570477,0.38351576292559897,0.39216019142778613,0.008644428502187163,-0.006493959307714237,0.40740437828848725,0.4156059179147553,0.008201539626268073
Task008_HepaticVessel,MSD HepaticVessel,nnU-Net v1 · 3d_lowres + 3d_fullres ensemble,303,0.6863054189721154,0.6916535499796461,0.005348131007530732,85,169,49,4,12,0,5,-0.024255616865821582,0.38429469513545383,0.4113706574649021,0.027075962329448255,-0.015227956868022119,0.5039047997213212,0.5240235424044708,0.020118742683149615
Task009_Spleen,MSD Spleen,nnU-Net v1 · 3d_fullres + 3d_cascade_fullres ensemble,41,0.9723658986805566,0.9724320323939892,6.613371343267005e-05,0,41,0,0,0,0,0,-0.0003564004119598341,0.9554016226218153,0.9540651079221731,-0.0013365146996421329,-0.00026443772470297056,0.9609750117483603,0.9613603761352209,0.00038536438686054275
Task010_Colon,MSD Colon,nnU-Net v1 · 3d_cascade_fullres (3d_lowres input),126,0.4891758519860931,0.4915961116465208,0.0024202596604276927,14,90,22,6,7,2,4,-0.04162092891843505,0.0,0.0,0.0,-0.022368349317400782,0.0,0.0,0.0
Task024_PROMISE12_Test,PROMISE12 former hidden test,nnU-Net v1 · 2d + 3d_fullres ensemble,30,0.9193566877339929,0.9185350059495005,-0.0008216817844923785,0,29,1,0,0,0,0,-0.0070292864085712775,0.8725580387000704,0.8778242409557624,0.005266202255691965,-0.003143032044209891,0.883521484871769,0.8845579370228149,0.0010364521510459745
Task027_ACDC,ACDC,nnU-Net v1 · 2d + 3d_fullres ensemble,200,0.9245380896368061,0.9238008031626297,-0.0007372864741763685,7,181,12,1,0,1,0,-0.011483664805773995,0.8651727441776865,0.8706506602194513,0.00547791604176473,-0.005034280858067162,0.8808794571781393,0.882372738935,0.0014932817568606982
Task038_CHAOS,CHAOS MRI,nnU-Net v1 · 2d + 3d_fullres ensemble,60,0.9204389057297057,0.9221990017343997,0.0017600960046940672,7,52,1,0,1,0,0,-0.005073109151335375,0.873000259942519,0.8735928330806231,0.0005925731381041244,-0.0030367865185302544,0.896780460209071,0.8959254750612522,-0.0008549851478187875
